Rank,Team,GM,W-L,FT,FTA,FT%
1,Wisconsin (Big Ten),34,25-9,436,533,81.8
2,Harvard (Ivy League),30,23-7,523,647,80.8
3,Bucknell (Patriot),34,25-9,499,633,78.8
4,IUPUI (Summit League),33,19-14,458,586,78.2
5,Colorado (Big 12),38,24-14,679,873,77.8
6,Purdue Fort Wayne (Summit League),30,18-12,458,593,77.2
7,Wagner (NEC),30,13-17,491,636,77.2
8,Northern Colo. (Big Sky),32,21-11,571,742,77
9,Central Conn. St. (NEC),31,19-12,486,634,76.7
10,BYU (Mountain West),37,32-5,662,865,76.5
11,UConn (AAC),41,32-9,627,822,76.3
12,UNI (MVC),34,20-14,461,605,76.2
13,Gonzaga (WCC),35,25-10,617,810,76.2
14,Tennessee St. (OVC),30,14-16,476,625,76.2
15,Lafayette (Patriot),32,13-19,482,633,76.1
16,Hofstra (CAA),33,21-12,501,658,76.1
17,Saint Mary's (CA) (WCC),34,25-9,501,660,75.9
18,Utah Valley (Utah Valley),30,19-11,591,780,75.8
19,Villanova (AAC),33,21-12,582,769,75.7
20,Ole Miss (SEC),34,20-14,517,684,75.6
21,Weber St. (Big Sky),32,18-14,455,602,75.6
22,Lehigh (Patriot),31,16-15,624,826,75.5
23,Charleston So. (Big South),32,16-16,456,604,75.5
24,San Jose St. (WAC),33,17-16,568,753,75.4
25,Duke (ACC),37,32-5,622,826,75.3
26,UC Santa Barbara (Big West),32,18-14,459,610,75.2
27,Northeastern (CAA),31,11-20,433,577,75
28,North Texas (Sun Belt),33,22-11,675,900,75
29,Wright St. (Horizon),33,19-14,486,650,74.8
30,Xavier (Atlantic 10),32,24-8,565,756,74.7
31,Brown (Ivy League),28,11-17,417,558,74.7
32,Arizona (Pac-12),38,30-8,671,899,74.6
33,Wake Forest (ACC),32,8-24,497,666,74.6
34,McNeese (Southland),33,21-12,558,748,74.6
35,Wichita St. (MVC),37,29-8,522,700,74.6
36,Portland (WCC),32,20-12,429,577,74.4
37,Vanderbilt (SEC),34,23-11,622,837,74.3
38,SMU (C-USA),35,20-15,409,551,74.2
39,Eastern Ky. (OVC),31,15-16,385,519,74.2
40,Col. of Charleston (SoCon),37,26-11,441,595,74.1
41,UT Martin (OVC),33,12-21,529,715,74
42,Missouri (Big 12),34,23-11,537,727,73.9
43,Oregon (Pac-12),39,21-18,520,704,73.9
44,Oklahoma (Big 12),32,14-18,437,592,73.8
45,Loyola Chicago (Horizon),31,16-15,471,639,73.7
46,Penn (Ivy League),28,13-15,395,536,73.7
47,Utah St. (WAC),34,30-4,563,764,73.7
48,Belmont (ASUN),35,30-5,575,781,73.6
49,Yale (Ivy League),28,15-13,433,589,73.5
50,UC Irvine (Big West),32,13-19,576,784,73.5
51,Georgetown (AAC),32,21-11,417,568,73.4
52,Davidson (SoCon),33,18-15,496,677,73.3
53,Princeton (Ivy League),32,25-7,446,609,73.2
54,Cleveland St. (Horizon),36,27-9,601,822,73.1
55,Southern Miss. (C-USA),32,22-10,549,752,73
56,Northwestern (Big Ten),34,20-14,416,570,73
57,Missouri St. (MVC),35,26-9,518,710,73
58,Creighton (MVC),39,23-16,534,732,73
59,Boston U. (America East),35,21-14,507,695,72.9
60,Texas Tech (Big 12),32,13-19,515,706,72.9
61,Charlotte (Atlantic 10),30,10-20,447,613,72.9
62,Illinois (Big Ten),34,20-14,393,539,72.9
63,UC Davis (Big West),30,10-20,407,559,72.8
64,Miami (OH) (MAC),33,16-17,455,625,72.8
65,South Dakota St. (Summit League),31,19-12,489,672,72.8
66,Saint Francis (PA) (NEC),30,9-21,419,576,72.7
67,Indiana (Big Ten),32,12-20,459,632,72.6
68,Santa Clara (WCC),38,24-14,718,989,72.6
69,Butler (Horizon),38,28-10,580,799,72.6
70,Portland St. (Big Sky),30,14-16,468,645,72.6
71,Miami (FL) (ACC),36,21-15,552,761,72.5
72,Oklahoma St. (Big 12),34,20-14,593,818,72.5
73,Furman (SoCon),33,22-11,503,694,72.5
74,Denver (Sun Belt),30,13-17,366,505,72.5
75,Notre Dame (AAC),34,27-7,599,827,72.4
76,Eastern Ill. (OVC),29,9-20,352,486,72.4
77,Penn St. (Big Ten),34,19-15,394,544,72.4
78,Boston College (ACC),34,21-13,422,583,72.4
79,Towson (CAA),30,4-26,444,614,72.3
80,Rice (C-USA),32,14-18,530,733,72.3
81,Mississippi St. (SEC),31,17-14,441,610,72.3
82,Bradley (MVC),32,12-20,421,583,72.2
83,Boise St. (WAC),35,22-13,605,838,72.2
84,Southeastern La. (Southland),29,15-14,440,610,72.1
85,Iowa St. (Big 12),32,16-16,380,527,72.1
86,SFA (Southland),29,18-11,408,566,72.1
87,Idaho (WAC),32,18-14,454,630,72.1
88,Oakland (Summit League),35,25-10,601,835,72
89,Cal St. Fullerton (Big West),31,11-20,506,704,71.9
90,American (Patriot),31,22-9,431,600,71.8
91,Pepperdine (WCC),33,12-21,538,749,71.8
92,Ohio (MAC),35,19-16,552,769,71.8
93,UAB (C-USA),31,22-9,368,513,71.7
94,Oral Roberts (Summit League),35,19-16,572,798,71.7
95,The Citadel (SoCon),32,10-22,388,542,71.6
96,VCU (CAA),40,28-12,589,824,71.5
97,Purdue (Big Ten),34,26-8,481,673,71.5
98,Columbia (Ivy League),28,15-13,420,588,71.4
98,Delaware St. (MEAC),30,9-21,320,448,71.4
100,Elon (SoCon),31,14-17,486,681,71.4
101,New Mexico (Mountain West),35,22-13,582,817,71.2
102,Marist (MAAC),33,6-27,448,629,71.2
103,Army West Point (Patriot),30,11-19,360,506,71.1
104,UNC Asheville (Big South),34,20-14,576,810,71.1
105,West Virginia (AAC),33,21-12,531,747,71.1
106,James Madison (CAA),33,21-12,496,698,71.1
107,South Fla. (AAC),33,10-23,463,652,71
108,St. John's (NY) (AAC),33,21-12,556,783,71
109,Indiana St. (MVC),34,20-14,480,676,71
110,Kentucky (SEC),38,29-9,560,789,71
111,Virginia Tech (ACC),34,22-12,533,751,71
112,Middle Tenn. (Sun Belt),32,16-16,584,823,71
113,Southern Utah (Summit League),30,11-19,508,716,70.9
114,VMI (Big South),31,18-13,505,712,70.9
115,Evansville (MVC),32,16-16,529,746,70.9
116,La Salle (Atlantic 10),33,15-18,482,680,70.9
117,Navy (Patriot),31,11-20,489,690,70.9
118,Washington St. (Pac-12),35,22-13,506,714,70.9
119,Arkansas St. (Sun Belt),32,17-15,531,750,70.8
120,Bethune-Cookman (MEAC),34,21-13,509,719,70.8
121,Illinois St. (MVC),31,12-19,380,537,70.8
122,Alabama (SEC),37,25-12,461,652,70.7
123,Saint Joseph's (Atlantic 10),33,11-22,432,611,70.7
124,UMBC (America East),30,5-25,345,488,70.7
125,Lipscomb (ASUN),30,17-13,502,711,70.6
126,Loyola Maryland (MAAC),30,15-15,441,625,70.6
127,UTSA (Southland),34,20-14,546,774,70.5
128,UT Arlington (Southland),29,13-16,419,594,70.5
129,Air Force (Mountain West),32,16-16,418,593,70.5
130,App State (SoCon),31,16-15,489,694,70.5
131,Akron (MAC),36,23-13,457,649,70.4
132,Pacific (Big West),31,16-15,392,558,70.3
133,Sacred Heart (NEC),29,11-18,413,588,70.2
134,Nebraska (Big 12),32,19-13,414,590,70.2
135,Coppin St. (MEAC),30,16-14,423,603,70.1
136,Clemson (ACC),34,22-12,493,703,70.1
137,Idaho St. (Big Sky),29,9-20,453,646,70.1
138,Tulsa (C-USA),32,19-13,535,763,70.1
138,Ohio St. (Big Ten),37,34-3,535,763,70.1
140,Binghamton (America East),31,8-23,326,465,70.1
141,Rhode Island (Atlantic 10),34,20-14,417,595,70.1
142,Michigan St. (Big Ten),34,19-15,484,691,70
143,Murray St. (OVC),32,23-9,528,755,69.9
144,Michigan (Big Ten),35,21-14,351,502,69.9
145,Longwood (Longwood),31,12-19,430,615,69.9
146,Western Mich. (MAC),34,21-13,495,708,69.9
147,Manhattan (MAAC),31,6-25,395,565,69.9
148,Maine (America East),30,15-15,446,638,69.9
149,St. Bonaventure (Atlantic 10),31,16-15,499,714,69.9
150,Canisius (MAAC),30,15-15,334,478,69.9
151,Temple (Atlantic 10),34,26-8,458,656,69.8
152,William & Mary (CAA),32,10-22,399,572,69.8
153,Georgia (SEC),33,21-12,465,667,69.7
154,Texas A&M (Big 12),33,24-9,557,799,69.7
155,Dartmouth (Ivy League),28,5-23,315,452,69.7
156,Northern Ill. (MAC),30,9-21,455,653,69.7
156,San Diego St. (Mountain West),37,34-3,455,653,69.7
158,Marquette (AAC),37,22-15,645,927,69.6
159,Arkansas (SEC),31,18-13,475,683,69.5
160,Baylor (Big 12),31,18-13,486,699,69.5
161,California (Pac-12),33,18-15,582,838,69.5
162,LMU (CA) (WCC),32,11-21,502,723,69.4
163,NC State (ACC),31,15-16,454,654,69.4
164,Utah (Mountain West),31,13-18,429,618,69.4
165,Ball St. (MAC),32,19-13,567,818,69.3
166,North Dakota St. (Summit League),29,14-15,467,674,69.3
167,Wofford (SoCon),34,21-13,539,778,69.3
168,Southern Ill. (MVC),32,13-19,430,621,69.2
169,Coastal Carolina (Big South),34,28-6,576,832,69.2
170,East Carolina (C-USA),34,18-16,591,854,69.2
171,Colorado St. (Mountain West),32,19-13,496,717,69.2
172,Delaware (CAA),31,14-17,443,641,69.1
173,UCF (C-USA),33,21-12,542,785,69
174,Mercer (ASUN),33,15-18,532,771,69
175,Virginia (ACC),31,16-15,356,516,69
176,Little Rock (Sun Belt),36,19-17,565,819,69
177,UNC Greensboro (SoCon),31,7-24,458,664,69
178,UNLV (Mountain West),33,24-9,495,718,68.9
178,George Mason (CAA),34,27-7,495,718,68.9
180,Georgia Tech (ACC),31,13-18,406,589,68.9
181,UNCW (CAA),31,13-18,326,473,68.9
182,Green Bay (Horizon),32,14-18,428,621,68.9
183,Cornell (Ivy League),28,10-18,339,492,68.9
184,CSU Bakersfield (CSU Bakersfield),28,9-19,412,598,68.9
185,Tulane (C-USA),30,13-17,411,597,68.8
186,San Francisco (WCC),34,19-15,501,728,68.8
187,Ga. Southern (SoCon),32,5-27,458,666,68.8
188,Nicholls (Southland),28,14-14,378,550,68.7
189,Richmond (Atlantic 10),37,29-8,446,649,68.7
190,Detroit Mercy (Horizon),33,17-16,593,863,68.7
191,Lamar University (Southland),30,13-17,537,782,68.7
192,Nevada (WAC),32,13-19,529,771,68.6
193,Liberty (Big South),32,19-13,441,643,68.6
194,FIU (Sun Belt),30,11-19,550,802,68.6
195,Hawaii (WAC),32,19-13,503,734,68.5
196,Drake (MVC),31,13-18,420,613,68.5
197,Robert Morris (NEC),32,18-14,434,634,68.5
198,Tennessee (SEC),34,19-15,527,770,68.4
199,DePaul (AAC),31,7-24,409,599,68.3
200,Colgate (Patriot),30,7-23,417,611,68.2
201,UC Riverside (Big West),31,12-19,393,576,68.2
202,Morgan St. (MEAC),31,17-14,522,766,68.1
203,Oregon St. (Pac-12),31,11-20,513,753,68.1
204,Sacramento St. (Big Sky),28,7-21,388,570,68.1
205,Austin Peay (OVC),34,20-14,526,773,68
206,Memphis (C-USA),35,25-10,532,782,68
207,Mount St. Mary's (NEC),32,11-21,412,606,68
208,UCLA (Pac-12),34,23-11,549,808,67.9
209,San Diego (WCC),30,6-24,381,561,67.9
210,Siena (MAAC),31,13-18,419,617,67.9
211,Marshall (C-USA),34,22-12,603,888,67.9
212,Kansas (Big 12),38,35-3,585,862,67.9
213,ETSU (ASUN),36,24-12,580,856,67.8
214,Norfolk St. (MEAC),32,12-20,498,735,67.8
215,UTRGV (UTRGV),31,6-25,481,710,67.7
216,Dayton (Atlantic 10),36,22-14,468,691,67.7
217,Rutgers (AAC),32,15-17,381,563,67.7
218,Maryland (ACC),33,19-14,521,770,67.7
219,Vermont (America East),32,23-9,438,648,67.6
220,New Mexico St. (WAC),33,16-17,594,879,67.6
221,Iowa (Big Ten),31,11-20,406,601,67.6
222,Fairleigh Dickinson (NEC),29,5-24,430,637,67.5
223,Samford (SoCon),31,12-19,351,520,67.5
224,South Carolina St. (MEAC),32,10-22,413,612,67.5
225,Washington (Pac-12),35,24-11,480,712,67.4
226,TCU (Mountain West),33,11-22,364,540,67.4
227,Morehead St. (OVC),35,25-10,506,751,67.4
228,CSUN (Big West),32,14-18,552,820,67.3
229,Wyoming (Mountain West),31,10-21,449,667,67.3
230,Long Beach St. (Big West),34,22-12,546,812,67.2
231,North Carolina (ACC),37,29-8,590,878,67.2
232,Seton Hall (AAC),31,13-18,387,576,67.2
233,Texas St. (Southland),32,16-16,589,877,67.2
234,Pittsburgh (AAC),34,28-6,540,805,67.1
235,UTEP (C-USA),35,25-10,515,769,67
236,Jacksonville (ASUN),32,20-12,474,708,66.9
237,Florida (SEC),37,29-8,498,744,66.9
238,Providence (AAC),32,15-17,506,756,66.9
239,Houston (C-USA),30,12-18,433,647,66.9
240,Cincinnati (AAC),35,26-9,496,742,66.8
241,Kent St. (MAC),37,25-12,504,754,66.8
242,Old Dominion (CAA),34,27-7,459,687,66.8
243,Montana (Big Sky),32,21-11,471,705,66.8
244,UIC (Horizon),31,7-24,351,526,66.7
245,N.C. A&T (MEAC),32,15-17,519,780,66.5
246,South Alabama (Sun Belt),28,12-16,443,666,66.5
247,Florida St. (ACC),34,23-11,482,725,66.5
248,Mississippi Val. (SWAC),32,13-19,478,719,66.5
249,Syracuse (AAC),35,27-8,474,713,66.5
250,High Point (Big South),31,12-19,470,707,66.5
251,Valparaiso (Horizon),35,23-12,448,674,66.5
252,LSU (SEC),32,11-21,432,650,66.5
253,Northern Ariz. (Big Sky),32,19-13,394,593,66.4
254,Louisiana (Sun Belt),29,14-15,474,714,66.4
255,Cal Poly (Big West),30,15-15,383,577,66.4
256,Louisville (AAC),35,25-10,416,627,66.3
257,Tennessee Tech (OVC),33,20-13,530,799,66.3
258,Eastern Wash. (Big Sky),30,10-20,405,611,66.3
259,South Carolina (SEC),30,14-16,338,510,66.3
260,Troy (Sun Belt),29,8-21,355,536,66.2
261,St. Francis Brooklyn (NEC),30,15-15,447,675,66.2
262,Massachusetts (Atlantic 10),30,15-15,427,645,66.2
263,Kansas City (Summit League),30,16-14,448,677,66.2
264,Western Ill. (Summit League),30,7-23,369,558,66.1
265,North Florida (ASUN),34,15-19,489,740,66.1
266,Savannah St. (Savannah St.),30,12-18,372,563,66.1
267,Sam Houston (Southland),31,18-13,438,663,66.1
268,Niagara (MAAC),32,9-23,466,706,66
269,Minnesota (Big Ten),31,17-14,479,726,66
270,Fla. Atlantic (Sun Belt),32,21-11,456,692,65.9
271,Stony Brook (America East),32,15-17,372,565,65.8
272,Stanford (Pac-12),31,15-16,416,632,65.8
273,Iona (MAAC),37,25-12,528,804,65.7
274,Saint Louis (Atlantic 10),31,12-19,353,538,65.6
275,Auburn (SEC),31,11-20,435,663,65.6
276,Kansas St. (Big 12),34,23-11,542,828,65.5
277,Texas (Big 12),36,28-8,592,905,65.4
278,Fairfield (MAAC),33,25-8,457,699,65.4
279,Milwaukee (Horizon),33,19-14,506,774,65.4
280,UMES (MEAC),31,9-22,427,654,65.3
281,Southern California (Pac-12),34,19-15,422,648,65.1
282,Buffalo (MAC),34,20-14,435,668,65.1
283,Western Caro. (SoCon),33,18-15,399,613,65.1
284,Holy Cross (Patriot),29,8-21,375,577,65
285,Rider (MAAC),34,23-11,435,670,64.9
286,Jacksonville St. (OVC),30,5-25,342,527,64.9
287,Kennesaw St. (ASUN),31,8-23,401,618,64.9
288,Chattanooga (SoCon),32,16-16,480,740,64.9
289,Hampton (MEAC),33,24-9,492,759,64.8
290,ULM (Sun Belt),31,7-24,363,560,64.8
291,Louisiana Tech (WAC),32,12-20,416,642,64.8
292,Montana St. (Big Sky),31,13-18,412,637,64.7
293,Chicago St. (Chicago St.),32,6-26,465,719,64.7
294,LIU (NEC),33,27-6,645,999,64.6
295,Albany (NY) (America East),32,16-16,327,507,64.5
296,A&M-Corpus Christi (Southland),31,10-21,430,668,64.4
297,Saint Peter's (MAAC),34,20-14,446,693,64.4
298,Winthrop (Big South),30,13-17,409,636,64.3
299,Gardner-Webb (Big South),32,11-21,350,545,64.2
300,Western Ky. (Sun Belt),32,16-16,445,693,64.2
301,Bowling Green (MAC),33,14-19,364,567,64.2
302,Central Ark. (Southland),29,5-24,439,684,64.2
303,Campbell (ASUN),31,12-19,425,663,64.1
304,Monmouth (NEC),30,9-21,376,588,63.9
305,Jackson St. (SWAC),32,17-15,466,731,63.7
306,Northwestern St. (Southland),32,18-14,587,922,63.7
307,Alcorn (SWAC),28,4-24,494,781,63.3
308,Texas Southern (SWAC),32,19-13,489,774,63.2
309,Fordham (Atlantic 10),28,7-21,317,503,63
310,Central Mich. (MAC),31,10-21,363,577,62.9
311,Fresno St. (WAC),31,14-17,427,679,62.9
312,Toledo (MAC),32,4-28,413,658,62.8
313,Arizona St. (Pac-12),31,12-19,305,486,62.8
314,Ark.-Pine Bluff (SWAC),31,7-24,405,646,62.7
314,George Washington (Atlantic 10),31,17-14,405,646,62.7
316,Centenary (LA) (Summit League),30,1-29,448,715,62.7
317,Radford (Big South),29,5-24,404,645,62.6
318,Eastern Mich. (MAC),31,9-22,374,599,62.4
319,Alabama A&M (SWAC),28,13-15,417,668,62.4
320,Howard (MEAC),30,6-24,418,671,62.3
321,Duquesne (Atlantic 10),32,19-13,494,794,62.2
322,Stetson (ASUN),31,8-23,420,677,62
323,Southeast Mo. St. (OVC),32,10-22,492,794,62
324,NJIT (NJIT),30,15-15,357,578,61.8
325,Drexel (CAA),31,21-10,420,682,61.6
326,Grambling (SWAC),33,12-21,434,707,61.4
327,New Hampshire (America East),30,12-18,340,555,61.3
328,Quinnipiac (NEC),32,22-10,426,697,61.1
329,Youngstown St. (Horizon),30,9-21,325,533,61
330,Florida A&M (MEAC),32,12-20,435,718,60.6
331,Alabama St. (SWAC),35,17-18,525,869,60.4
332,Hartford (America East),31,11-20,248,413,60
333,Southern U. (SWAC),30,4-26,328,550,59.6
334,Georgia St. (CAA),31,12-19,326,549,59.4
335,Prairie View (SWAC),32,10-22,343,596,57.6
