Rank,Team,GM,W-L,AST,TO,Ratio
1,Creighton (Big East),35,27-8,614,342,1.8
2,Iowa St. (Big 12),36,28-8,663,380,1.74
3,UCLA (Pac-12),37,28-9,636,379,1.68
4,Iona (MAAC),33,22-11,576,349,1.65
5,Georgia St. (Sun Belt),34,25-9,451,275,1.64
6,Wisconsin (Big Ten),38,30-8,468,307,1.52
7,Duke (ACC),35,26-9,509,334,1.52
8,Michigan (Big Ten),37,28-9,525,345,1.52
9,Denver (Summit League),31,16-15,466,307,1.52
10,Pittsburgh (ACC),36,26-10,563,373,1.51
11,California (Pac-12),35,21-14,537,356,1.51
12,Arizona (Pac-12),38,33-5,574,387,1.48
13,Toledo (MAC),34,27-7,509,346,1.47
14,Notre Dame (ACC),32,15-17,484,331,1.46
15,SFA (Southland),35,32-3,574,393,1.46
16,Louisville (AAC),37,31-6,568,391,1.45
17,New Mexico (Mountain West),34,27-7,522,360,1.45
18,Michigan St. (Big Ten),38,29-9,637,440,1.45
19,Utah St. (Mountain West),32,18-14,510,353,1.44
20,Iowa (Big Ten),33,20-13,532,371,1.43
21,UC Santa Barbara (Big West),30,21-9,478,335,1.43
22,Oakland (Horizon),33,13-20,522,367,1.42
23,Youngstown St. (Horizon),32,15-17,499,357,1.4
24,Mercer (ASUN),36,27-9,586,420,1.4
25,Eastern Ky. (OVC),34,24-10,498,359,1.39
26,Drexel (CAA),30,16-14,353,255,1.38
27,Colorado St. (Mountain West),32,16-16,405,293,1.38
28,Duquesne (Atlantic 10),30,13-17,457,331,1.38
29,BYU (WCC),35,23-12,544,395,1.38
30,Louisiana Tech (C-USA),37,29-8,582,424,1.37
31,William & Mary (CAA),32,20-12,447,331,1.35
32,West Virginia (Big 12),33,17-16,432,323,1.34
33,Arkansas (SEC),34,22-12,521,392,1.33
34,VMI (Big South),35,22-13,491,371,1.32
35,UNI (MVC),31,16-15,436,330,1.32
36,Memphis (AAC),34,24-10,591,449,1.32
37,Syracuse (ACC),34,28-6,402,306,1.31
38,Wichita St. (MVC),36,35-1,491,374,1.31
39,Virginia (ACC),37,30-7,484,370,1.31
40,Oklahoma St. (Big 12),34,21-13,463,356,1.3
41,Cal Poly (Big West),34,14-20,394,303,1.3
42,Portland (WCC),31,15-16,472,366,1.29
43,Villanova (Big East),34,29-5,523,406,1.29
43,North Carolina (ACC),34,24-10,523,406,1.29
45,Temple (AAC),31,22-Sep,421,327,1.29
46,Princeton (Ivy League),30,21-9,431,335,1.29
47,Oklahoma (Big 12),33,23-10,483,376,1.28
48,N.C. Central (MEAC),34,28-6,498,389,1.28
49,Baylor (Big 12),38,26-12,563,440,1.28
50,Utah Valley (WAC),32,20-12,453,355,1.28
51,USC Upstate (ASUN),34,19-15,526,413,1.27
52,Utah (Pac-12),33,21-12,504,396,1.27
53,Southeast Mo. St. (OVC),32,18-14,533,419,1.27
54,Charleston So. (Big South),31,13-18,424,334,1.27
55,Oregon (Pac-12),34,24-10,492,389,1.26
56,San Francisco (WCC),33,21-12,479,381,1.26
57,Gonzaga (WCC),36,29-7,525,419,1.25
58,Arizona St. (Pac-12),33,21-12,471,377,1.25
59,Kansas St. (Big 12),33,20-13,503,404,1.25
60,NC State (ACC),36,22-14,466,375,1.24
61,Colgate (Patriot),31,13-18,440,355,1.24
62,Marquette (Big East),32,17-15,474,383,1.24
63,Harvard (Ivy League),32,27-5,451,365,1.24
64,Belmont (OVC),36,26-10,571,463,1.23
65,Sam Houston (Southland),35,24-11,550,447,1.23
66,UC Irvine (Big West),35,23-12,546,444,1.23
67,Gardner-Webb (Big South),33,18-15,498,405,1.23
68,St. John's (NY) (Big East),33,20-13,434,353,1.23
69,Santa Clara (WCC),33,14-19,403,329,1.22
70,Northwestern St. (Southland),31,17-14,513,420,1.22
71,High Point (Big South),31,16-15,455,373,1.22
72,Tennessee (SEC),37,24-13,472,388,1.22
73,Wofford (SoCon),33,20-13,423,351,1.21
74,Green Bay (Horizon),31,24-7,473,393,1.2
75,Radford (Big South),35,22-13,460,383,1.2
76,Boston U. (Patriot),35,24-11,491,411,1.19
77,Buffalo (MAC),29,19-10,436,365,1.19
78,Boise St. (Mountain West),34,21-13,406,340,1.19
79,Hawaii (Big West),31,20-11,437,366,1.19
80,Davidson (SoCon),33,20-13,451,378,1.19
81,Fresno St. (Mountain West),39,21-18,470,394,1.19
82,Purdue Fort Wayne (Summit League),36,25-11,524,440,1.19
83,Wyoming (Mountain West),33,18-15,412,346,1.19
84,UNLV (Mountain West),33,20-13,437,367,1.19
85,Sacramento St. (Big Sky),30,14-16,402,338,1.19
86,Minnesota (Big Ten),38,25-13,528,444,1.19
87,Florida (SEC),39,36-3,509,431,1.18
88,Xavier (Big East),34,21-13,497,421,1.18
89,UT Martin (OVC),31,23-Aug,426,361,1.18
90,Ohio (MAC),37,25-12,559,475,1.18
91,North Dakota St. (Summit League),33,26-7,382,325,1.18
92,Providence (Big East),35,23-12,476,406,1.17
93,Washington (Pac-12),32,17-15,427,365,1.17
94,Houston (AAC),33,17-16,486,421,1.15
95,Indiana St. (MVC),34,23-11,440,382,1.15
96,East Carolina (C-USA),34,17-17,458,398,1.15
97,Evansville (MVC),33,14-19,485,423,1.15
98,Elon (SoCon),32,18-14,442,386,1.15
99,SMU (AAC),37,27-10,561,493,1.14
100,Texas A&M (SEC),34,18-16,439,386,1.14
101,Montana (Big Sky),30,17-13,340,299,1.14
102,Cleveland St. (Horizon),33,21-12,469,414,1.13
103,Saint Joseph's (Atlantic 10),34,24-10,476,421,1.13
104,Kansas (Big 12),35,25-10,523,463,1.13
105,Pepperdine (WCC),31,15-16,428,379,1.13
106,Delaware (CAA),35,25-10,377,334,1.13
107,Cincinnati (AAC),34,27-7,425,377,1.13
108,Portland St. (Big Sky),32,17-15,411,366,1.12
109,Central Mich. (MAC),31,21-Oct,371,331,1.12
110,Lipscomb (ASUN),30,15-15,421,376,1.12
111,Ole Miss (SEC),33,19-14,413,369,1.12
112,Saint Louis (Atlantic 10),34,27-7,482,431,1.12
113,Eastern Wash. (Big Sky),31,15-16,417,373,1.12
114,Massachusetts (Atlantic 10),33,24-9,498,446,1.12
115,Georgetown (Big East),33,18-15,431,387,1.11
116,Butler (Big East),31,14-17,345,310,1.11
117,Bucknell (Patriot),30,16-14,357,321,1.11
118,Boston College (ACC),32,24-Aug,398,358,1.11
119,Missouri St. (MVC),33,20-13,401,361,1.11
120,South Dakota St. (Summit League),32,19-13,421,381,1.1
121,North Dakota (Big Sky),34,17-17,417,379,1.1
122,LIU (NEC),29,20-Sep,408,371,1.1
123,Dayton (Atlantic 10),37,26-11,485,442,1.1
124,Nicholls (Southland),29,14-15,384,351,1.09
125,Arkansas St. (Sun Belt),32,19-13,425,390,1.09
126,Seton Hall (Big East),34,17-17,452,415,1.09
127,Georgia Tech (ACC),33,16-17,434,399,1.09
128,Army West Point (Patriot),31,15-16,436,401,1.09
129,Lehigh (Patriot),32,14-18,416,383,1.09
130,Saint Francis (PA) (NEC),31,21-Oct,361,333,1.08
131,Tulsa (C-USA),34,21-13,427,394,1.08
132,Robert Morris (NEC),36,22-14,445,411,1.08
133,Canisius (MAAC),34,21-13,425,394,1.08
134,George Washington (Atlantic 10),33,24-9,461,428,1.08
135,Fordham (Atlantic 10),31,21-Oct,379,353,1.07
136,Wake Forest (ACC),33,17-16,440,410,1.07
137,The Citadel (SoCon),33,26-Jul,442,412,1.07
138,VCU (Atlantic 10),35,26-9,459,428,1.07
139,Vermont (America East),33,22-11,424,396,1.07
140,La Salle (Atlantic 10),31,15-16,385,360,1.07
141,Samford (SoCon),33,13-20,450,421,1.07
142,Ohio St. (Big Ten),35,25-10,421,394,1.07
143,UConn (AAC),40,32-8,488,457,1.07
144,Drake (MVC),31,15-16,395,370,1.07
145,Purdue (Big Ten),32,15-17,419,393,1.07
146,Weber St. (Big Sky),31,19-12,407,382,1.07
147,Penn St. (Big Ten),34,16-18,384,361,1.06
148,Campbell (Big South),32,20-Dec,454,427,1.06
149,Northern Colo. (Big Sky),32,18-14,388,365,1.06
150,Murray St. (OVC),34,23-11,446,420,1.06
151,Texas (Big 12),35,24-11,452,426,1.06
152,American (Patriot),33,20-13,492,464,1.06
153,Oral Roberts (Southland),33,17-16,398,376,1.06
154,Bryant (NEC),32,18-14,420,397,1.06
155,Alabama St. (SWAC),32,19-13,415,393,1.06
156,Southern Miss. (C-USA),36,29-7,507,481,1.05
157,Longwood (Big South),32,24-Aug,430,408,1.05
158,CSUN (Big West),35,17-18,471,447,1.05
159,ETSU (ASUN),35,19-16,429,408,1.05
160,Saint Mary's (CA) (WCC),35,23-12,430,409,1.05
161,Rice (C-USA),30,23-Jul,414,394,1.05
162,Texas Southern (SWAC),34,19-15,476,454,1.05
163,Dartmouth (Ivy League),28,16-Dec,352,336,1.05
164,Air Force (Mountain West),30,18-Dec,419,400,1.05
165,St. Bonaventure (Atlantic 10),33,18-15,443,423,1.05
166,Lafayette (Patriot),31,20-Nov,400,383,1.04
167,Jacksonville St. (OVC),31,21-Oct,366,351,1.04
168,Nevada (Mountain West),32,15-17,347,333,1.04
169,Middle Tenn. (C-USA),33,24-9,433,416,1.04
170,NJIT (Independent),29,13-16,394,379,1.04
171,LMU (CA) (WCC),32,13-19,404,389,1.04
172,Long Beach St. (Big West),32,15-17,405,390,1.04
173,New Mexico St. (WAC),36,26-10,474,457,1.04
174,Brown (Ivy League),29,15-14,388,375,1.03
175,LSU (SEC),34,20-14,480,464,1.03
176,Delaware St. (MEAC),30,21-Sep,367,355,1.03
177,Miami (FL) (ACC),33,17-16,346,335,1.03
178,A&M-Corpus Christi (Southland),34,18-16,425,413,1.03
179,Wright St. (Horizon),36,21-15,493,480,1.03
180,South Dakota (Summit League),30,18-Dec,381,371,1.03
181,Sacred Heart (NEC),31,26-May,388,378,1.03
182,Pacific (WCC),34,18-16,425,415,1.02
183,UTRGV (WAC),32,23-Sep,400,391,1.02
184,Stony Brook (America East),34,23-11,434,426,1.02
185,Norfolk St. (MEAC),34,19-15,465,457,1.02
186,Columbia (Ivy League),34,21-13,419,412,1.02
187,UTEP (C-USA),34,23-11,458,451,1.02
188,Milwaukee (Horizon),35,21-14,476,469,1.01
189,Stanford (Pac-12),36,23-13,415,409,1.01
190,SIUE (OVC),31,20-Nov,435,429,1.01
191,Navy (Patriot),30,21-Sep,381,376,1.01
192,Northwestern (Big Ten),33,14-19,364,360,1.01
193,Louisiana (Sun Belt),35,23-12,472,467,1.01
194,Quinnipiac (MAAC),32,20-12,404,402,1
195,San Diego St. (Mountain West),36,31-5,356,355,1
196,Mount St. Mary's (NEC),33,16-17,389,388,1
197,Western Caro. (SoCon),34,19-15,415,414,1
198,Rutgers (AAC),33,21-Dec,418,417,1
199,Liberty (Big South),32,21-Nov,423,424,1
200,UC Davis (Big West),31,22-Sep,372,373,1
201,Oregon St. (Pac-12),32,16-16,430,432,1
202,Richmond (Atlantic 10),33,19-14,349,351,0.99
203,Idaho (WAC),34,16-18,384,388,0.99
204,San Diego (WCC),35,18-17,410,415,0.99
205,Southern U. (SWAC),32,19-13,419,425,0.99
206,Loyola Chicago (MVC),32,22-Oct,419,426,0.98
207,Siena (MAAC),38,20-18,514,523,0.98
208,South Fla. (AAC),32,20-Dec,402,411,0.98
209,TCU (Big 12),31,22-Sep,354,362,0.98
210,Morgan St. (MEAC),31,15-16,394,403,0.98
211,Vanderbilt (SEC),31,15-16,404,414,0.98
212,Illinois St. (MVC),34,18-16,409,420,0.97
213,UAB (C-USA),31,18-13,392,403,0.97
214,Holy Cross (Patriot),34,20-14,387,398,0.97
215,FGCU (ASUN),35,22-13,447,460,0.97
216,Coppin St. (MEAC),32,20-Dec,369,380,0.97
217,Southeastern La. (Southland),30,18-Dec,351,363,0.97
218,Stetson (ASUN),31,24-Jul,370,383,0.97
219,Illinois (Big Ten),35,20-15,351,364,0.96
220,Auburn (SEC),30,14-16,349,363,0.96
221,Jacksonville (ASUN),30,18-Dec,393,409,0.96
222,Alabama A&M (SWAC),30,14-16,380,397,0.96
223,Clemson (ACC),36,23-13,383,401,0.96
224,ULM (Sun Belt),27,17-Oct,341,358,0.95
225,Maine (America East),29,23-Jun,418,439,0.95
226,Texas Tech (Big 12),32,14-18,366,385,0.95
227,St. Francis Brooklyn (NEC),32,18-14,399,421,0.95
228,Idaho St. (Big Sky),29,18-Nov,341,360,0.95
229,UNCW (CAA),32,23-Sep,346,367,0.94
230,Austin Peay (OVC),30,18-Dec,444,471,0.94
231,Loyola Maryland (Patriot),30,19-Nov,336,357,0.94
232,IUPUI (Summit League),32,26-Jun,333,354,0.94
233,Seattle U (WAC),30,13-17,394,419,0.94
234,Presbyterian (Big South),32,26-Jun,372,398,0.93
235,Western Ill. (Summit League),30,20-Oct,373,400,0.93
236,Fairleigh Dickinson (NEC),31,21-Oct,339,364,0.93
237,Central Conn. St. (NEC),30,19-Nov,391,420,0.93
238,Marshall (C-USA),33,22-Nov,397,427,0.93
239,McNeese (Southland),31,20-Nov,369,397,0.93
240,Kent St. (MAC),32,16-16,362,390,0.93
241,Kentucky (SEC),40,29-11,446,481,0.93
242,Cal St. Fullerton (Big West),31,20-Nov,343,370,0.93
243,Manhattan (MAAC),33,25-8,433,468,0.93
244,Alabama (SEC),32,13-19,351,380,0.92
245,Rider (MAAC),31,14-17,377,409,0.92
246,Miami (OH) (MAC),31,13-18,387,420,0.92
247,Chicago St. (WAC),32,13-19,358,389,0.92
248,Charlotte (C-USA),31,17-14,420,457,0.92
249,South Alabama (Sun Belt),31,20-Nov,349,380,0.92
250,UNC Asheville (Big South),32,17-15,402,438,0.92
251,Winthrop (Big South),33,20-13,378,412,0.92
252,UCF (AAC),31,13-18,389,424,0.92
253,Maryland (ACC),32,17-15,374,408,0.92
254,Washington St. (Pac-12),31,21-Oct,325,355,0.92
255,Fla. Atlantic (C-USA),32,22-Oct,380,417,0.91
256,Montana St. (Big Sky),31,14-17,325,357,0.91
257,Eastern Mich. (MAC),37,22-15,393,432,0.91
258,Detroit Mercy (Horizon),32,13-19,370,408,0.91
259,UT Arlington (Sun Belt),32,15-17,390,431,0.9
260,Penn (Ivy League),28,20-Aug,408,451,0.9
261,App State (SoCon),30,21-Sep,327,362,0.9
262,Wagner (NEC),31,19-12,356,395,0.9
263,Southern California (Pac-12),32,21-Nov,404,449,0.9
264,Eastern Ill. (OVC),30,19-Nov,359,399,0.9
265,UMES (MEAC),30,24-Jun,339,379,0.89
266,UIC (Horizon),31,25-Jun,346,388,0.89
267,Little Rock (Sun Belt),32,15-17,376,422,0.89
268,Marist (MAAC),31,19-Dec,342,384,0.89
269,Cornell (Ivy League),28,26-Feb,300,337,0.89
270,Yale (Ivy League),33,19-14,379,427,0.89
271,Chattanooga (SoCon),33,18-15,391,442,0.88
272,Northeastern (CAA),32,21-Nov,371,420,0.88
273,Kansas City (WAC),30,20-Oct,349,397,0.88
274,Albany (NY) (America East),34,19-15,376,428,0.88
275,Hartford (America East),33,17-16,402,458,0.88
276,Troy (Sun Belt),31,20-Nov,343,391,0.88
277,Hofstra (CAA),33,23-Oct,355,406,0.87
278,Central Ark. (Southland),29,21-Aug,368,421,0.87
279,Mississippi St. (SEC),33,14-19,401,459,0.87
280,Nebraska (Big Ten),32,19-13,304,349,0.87
281,Akron (MAC),34,21-13,387,446,0.87
282,CSU Bakersfield (WAC),32,13-19,384,443,0.87
283,Valparaiso (Horizon),34,18-16,437,506,0.86
284,Virginia Tech (ACC),31,22-Sep,338,392,0.86
285,Morehead St. (OVC),34,20-14,456,530,0.86
286,Lamar University (Southland),30,26-Apr,361,420,0.86
287,South Carolina (SEC),34,14-20,416,485,0.86
288,Towson (CAA),36,25-11,355,415,0.86
289,UC Riverside (Big West),31,21-Oct,349,408,0.86
290,Rhode Island (Atlantic 10),32,14-18,385,451,0.85
291,Colorado (Pac-12),35,23-12,397,466,0.85
292,Northern Ariz. (Big Sky),32,15-17,344,404,0.85
293,UNC Greensboro (SoCon),32,14-18,380,447,0.85
294,Tennessee St. (OVC),30,25-May,314,371,0.85
295,Monmouth (MAAC),32,21-Nov,386,462,0.84
296,Western Ky. (Sun Belt),32,20-12,361,434,0.83
297,San Jose St. (Mountain West),31,24-Jul,346,416,0.83
298,North Florida (ASUN),32,16-16,401,483,0.83
299,Bowling Green (MAC),32,20-Dec,387,469,0.83
300,Tennessee Tech (OVC),33,17-16,408,498,0.82
301,Southern Ill. (MVC),33,14-19,330,404,0.82
302,Saint Peter's (MAAC),31,14-17,303,373,0.81
303,Western Mich. (MAC),33,23-10,376,464,0.81
304,Texas St. (Sun Belt),31,23-Aug,344,425,0.81
305,DePaul (Big East),33,21-Dec,359,444,0.81
306,Ga. Southern (SoCon),34,15-19,327,405,0.81
307,Old Dominion (C-USA),36,18-18,382,474,0.81
308,South Carolina St. (MEAC),30,21-Sep,364,452,0.81
309,George Mason (Atlantic 10),31,20-Nov,339,421,0.81
310,Alcorn (SWAC),31,19-Dec,286,356,0.8
311,Missouri (SEC),35,23-12,355,442,0.8
312,Hampton (MEAC),31,18-13,367,457,0.8
313,North Texas (C-USA),32,16-16,324,405,0.8
314,Bradley (MVC),32,20-Dec,306,383,0.8
315,Houston Baptist (Southland),31,25-Jun,385,485,0.79
316,Col. of Charleston (CAA),32,14-18,324,409,0.79
317,UMBC (America East),30,21-Sep,355,450,0.79
318,Southern Utah (Big Sky),29,27-Feb,313,403,0.78
319,Bethune-Cookman (MEAC),32,25-Jul,316,408,0.77
320,Florida A&M (MEAC),32,14-18,360,466,0.77
321,FIU (C-USA),31,15-16,336,436,0.77
322,Fairfield (MAAC),32,25-Jul,360,469,0.77
323,Coastal Carolina (Big South),34,21-13,362,473,0.77
324,Georgia (SEC),34,20-14,341,446,0.76
325,Indiana (Big Ten),32,17-15,368,482,0.76
326,Mississippi Val. (SWAC),32,23-Sep,357,469,0.76
327,Florida St. (ACC),36,22-14,385,512,0.75
328,New Hampshire (America East),30,24-Jun,292,392,0.74
329,Ball St. (MAC),30,25-May,375,505,0.74
330,Prairie View (SWAC),34,23-Nov,362,490,0.74
331,Niagara (MAAC),33,26-Jul,330,450,0.73
332,Ark.-Pine Bluff (SWAC),31,13-18,350,478,0.73
333,New Orleans (Southland),26,15-Nov,316,437,0.72
334,Tulane (C-USA),34,17-17,314,436,0.72
335,James Madison (CAA),31,20-Nov,272,379,0.72
336,Furman (SoCon),30,21-Sep,288,407,0.71
337,Grambling (SWAC),29,24-May,301,432,0.7
338,Kennesaw St. (ASUN),31,25-Jun,344,494,0.7
339,UTSA (C-USA),30,22-Aug,316,473,0.67
340,Savannah St. (MEAC),32,13-19,334,502,0.67
341,Binghamton (America East),30,23-Jul,282,428,0.66
342,Jackson St. (SWAC),31,20-Nov,293,463,0.63
343,N.C. A&T (MEAC),32,23-Sep,297,489,0.61
344,NIU (MAC),32,15-17,271,470,0.58
345,Howard (MEAC),33,25-Aug,261,540,0.48
