Rank,Team,FTPG,FTAPG,FT%
1,Oral Roberts (Summit League),14.03,17.10,82.1
2,Colorado (Pac-12),13.69,16.72,81.9
3,Virginia (ACC),9.40,11.52,81.6
4,Lafayette (Patriot),15.07,18.73,80.4
5,Detroit Mercy (Horizon),11.91,14.82,80.4
6,Colorado St. (Mountain West),14.54,18.36,79.2
7,Utah (Pac-12),12.76,16.12,79.2
8,Eastern Wash. (Big Sky),14.21,17.96,79.1
9,Western Ky. (C-USA),15.76,20.00,78.8
10,Weber St. (Big Sky),16.35,20.78,78.7
11,Pepperdine (WCC),14.85,18.93,78.5
12,UC Davis (Big West),16.39,20.89,78.5
13,Iowa St. (Big 12),9.04,11.54,78.3
14,Chattanooga (SoCon),12.92,16.50,78.3
15,Montana (Big Sky),15.46,19.79,78.2
16,Syracuse (ACC),13.29,17.00,78.2
17,Vermont (America East),14.20,18.20,78
18,Toledo (MAC),13.83,17.73,78
19,Drexel (CAA),11.70,15.00,78
20,South Dakota (Summit League),14.60,18.72,78
21,Kent St. (MAC),13.43,17.26,77.8
22,Liberty (ASUN),10.21,13.14,77.7
23,Miami (OH) (MAC),11.74,15.13,77.6
24,Portland (WCC),15.71,20.29,77.5
25,Notre Dame (ACC),11.38,14.73,77.3
26,VMI (SoCon),12.76,16.52,77.2
27,Michigan (Big Ten),13.32,17.32,76.9
28,Clemson (ACC),9.83,12.79,76.9
29,Wisconsin (Big Ten),11.74,15.29,76.8
30,UNCW (CAA),16.76,21.88,76.6
31,Villanova (Big East),13.24,17.36,76.3
32,Bucknell (Patriot),15.75,20.67,76.2
33,Oregon St. (Pac-12),14.82,19.45,76.2
34,UTSA (C-USA),11.73,15.42,76.1
35,Bryant (NEC),16.32,21.45,76.1
36,VCU (Atlantic 10),14.54,19.12,76.1
37,North Dakota St. (Summit League),14.11,18.56,76
38,UC Irvine (Big West),13.33,17.56,75.9
39,Akron (MAC),14.13,18.65,75.8
40,Ohio St. (Big Ten),16.19,21.42,75.6
41,Nevada (Mountain West),16.27,21.54,75.5
42,Montana St. (Big Sky),16.91,22.39,75.5
43,Georgetown (Big East),13.58,18.04,75.3
44,Florida (SEC),14.36,19.08,75.3
45,Austin Peay (OVC),12.85,17.11,75.1
46,UC Santa Barbara (Big West),14.52,19.33,75.1
47,Ball St. (MAC),12.96,17.26,75.1
48,LSU (SEC),16.03,21.38,75
48,Boston U. (Patriot),12.33,16.44,75
50,St. John's (NY) (Big East),13.85,18.48,74.9
51,Green Bay (Horizon),12.32,16.44,74.9
52,William & Mary (CAA),13.35,17.82,74.9
53,Southern Utah (Big Sky),17.17,22.96,74.8
54,UTEP (C-USA),12.96,17.33,74.8
55,Tulane (AAC),15.09,20.22,74.6
56,Tennessee (SEC),14.78,19.81,74.6
57,Eastern Mich. (MAC),13.50,18.11,74.5
58,Oklahoma (Big 12),13.19,17.70,74.5
59,North Texas (C-USA),10.93,14.68,74.5
60,Iona (MAAC),14.39,19.33,74.4
61,Missouri St. (MVC),12.83,17.29,74.2
62,App State (Sun Belt),14.69,19.79,74.2
63,Northeastern (CAA),10.58,14.26,74.2
64,Sacred Heart (NEC),14.44,19.50,74.1
65,Elon (CAA),10.37,14.00,74.1
66,Minnesota (Big Ten),16.83,22.72,74.1
67,Florida St. (ACC),14.04,18.96,74.1
68,Arkansas (SEC),15.66,21.16,74
69,Morgan St. (MEAC),16.77,22.68,73.9
70,Cal St. Fullerton (Big West),15.06,20.38,73.9
71,Penn St. (Big Ten),12.84,17.40,73.8
72,Belmont (OVC),12.67,17.17,73.8
73,St. Bonaventure (Atlantic 10),12.05,16.33,73.8
74,New Orleans (Southland),14.24,19.32,73.7
75,UT Arlington (Sun Belt),12.58,17.08,73.6
76,Vanderbilt (SEC),13.72,18.64,73.6
77,Bowling Green (MAC),13.62,18.50,73.6
78,Saint Mary's (CA) (WCC),11.25,15.29,73.6
79,Boise St. (Mountain West),14.86,20.21,73.5
80,Marquette (Big East),14.15,19.26,73.5
81,St. Francis Brooklyn (NEC),14.42,19.63,73.5
82,Indiana St. (MVC),14.12,19.24,73.4
83,Lamar University (Southland),13.00,17.71,73.4
84,Massachusetts (Atlantic 10),15.40,21.00,73.3
85,Seattle U (WAC),13.26,18.09,73.3
86,Rider (MAAC),12.17,16.61,73.3
87,Houston Baptist (Southland),12.16,16.60,73.3
88,Seton Hall (Big East),14.74,20.15,73.2
89,Milwaukee (Horizon),14.86,20.32,73.2
90,Charlotte (C-USA),14.16,19.36,73.1
91,Houston (AAC),13.59,18.59,73.1
92,Gonzaga (WCC),16.03,21.94,73.1
93,Rice (C-USA),11.43,15.64,73.1
94,Kentucky (SEC),14.84,20.36,72.9
95,UCF (AAC),12.26,16.83,72.9
96,New Mexico St. (WAC),13.15,18.05,72.9
97,Arizona St. (Pac-12),14.68,20.16,72.8
98,SMU (AAC),13.35,18.35,72.8
99,Valparaiso (MVC),11.14,15.32,72.7
99,CSUN (Big West),13.45,18.50,72.7
99,Richmond (Atlantic 10),12.87,17.70,72.7
99,Towson (CAA),14.22,19.56,72.7
103,Arizona (Pac-12),17.42,23.96,72.7
104,Wake Forest (ACC),11.86,16.32,72.7
105,Michigan St. (Big Ten),13.29,18.29,72.7
106,Youngstown St. (Horizon),14.44,19.89,72.6
107,Alcorn (SWAC),14.37,19.79,72.6
108,LMU (CA) (WCC),15.64,21.55,72.6
109,Western Caro. (SoCon),14.11,19.44,72.6
110,Texas A&M (SEC),13.22,18.22,72.6
111,Georgia Tech (ACC),12.00,16.54,72.6
112,Idaho (Big Sky),11.05,15.23,72.5
113,Saint Joseph's (Atlantic 10),12.00,16.55,72.5
114,Hampton (Big South),11.92,16.44,72.5
115,BYU (WCC),11.89,16.41,72.5
116,Marshall (C-USA),11.00,15.18,72.5
117,Wright St. (Horizon),15.33,21.17,72.4
118,Albany (NY) (America East),13.63,18.81,72.4
119,East Carolina (AAC),13.79,19.05,72.4
120,Furman (SoCon),11.52,15.92,72.4
121,Colgate (Patriot),14.06,19.44,72.3
122,Ark.-Pine Bluff (SWAC),15.12,20.92,72.3
123,Bradley (MVC),10.14,14.04,72.3
124,UConn (Big East),12.65,17.52,72.2
125,Utah St. (Mountain West),12.90,17.86,72.2
126,Arkansas St. (Sun Belt),14.38,19.92,72.2
127,Cal Poly (Big West),11.67,16.17,72.2
128,Denver (Summit League),13.67,18.95,72.1
129,Hawaii (Big West),12.90,17.90,72.1
130,USC Upstate (Big South),11.65,16.17,72
131,Delaware St. (MEAC),13.53,18.79,72
132,West Virginia (Big 12),16.86,23.45,71.9
133,San Diego St. (Mountain West),13.71,19.07,71.9
134,Wyoming (Mountain West),14.64,20.36,71.9
135,UT Martin (OVC),12.25,17.04,71.9
136,Loyola Chicago (MVC),12.03,16.74,71.9
137,Mercer (SoCon),10.72,14.93,71.8
138,Evansville (MVC),9.48,13.20,71.8
138,Howard (MEAC),15.80,22.00,71.8
140,Wagner (NEC),12.10,16.85,71.8
141,IUPUI (Horizon),13.00,18.11,71.8
142,South Alabama (Sun Belt),13.89,19.36,71.8
143,Northwestern (Big Ten),11.33,15.79,71.8
144,Louisville (ACC),13.20,18.40,71.7
145,San Francisco (WCC),9.32,13.00,71.7
146,Central Ark. (Southland),13.29,18.54,71.7
147,Coastal Carolina (Sun Belt),14.69,20.50,71.7
147,Stanford (Pac-12),14.15,19.74,71.7
149,Kansas (Big 12),12.87,17.97,71.6
150,Temple (AAC),15.13,21.13,71.6
151,Hartford (America East),11.13,15.54,71.6
152,South Dakota St. (Summit League),15.43,21.57,71.6
153,Hofstra (CAA),13.78,19.26,71.6
154,Western Ill. (Summit League),15.86,22.18,71.5
155,UCLA (Pac-12),13.09,18.31,71.5
156,Iowa (Big Ten),14.45,20.23,71.5
157,Charleston So. (Big South),12.14,17.00,71.4
158,CSU Bakersfield (Big West),11.42,16.00,71.4
159,North Florida (ASUN),10.09,14.13,71.4
160,Delaware (CAA),14.13,19.80,71.4
161,Saint Francis (PA) (NEC),13.82,19.36,71.4
162,Dayton (Atlantic 10),12.42,17.42,71.3
163,Drake (MVC),10.32,14.48,71.3
164,Fairleigh Dickinson (NEC),13.21,18.54,71.2
165,Idaho St. (Big Sky),14.71,20.67,71.2
166,Purdue (Big Ten),12.86,18.07,71.1
167,UMBC (America East),14.30,20.10,71.1
168,Oregon (Pac-12),10.89,15.32,71.1
169,Col. of Charleston (CAA),11.63,16.37,71.1
170,Oklahoma St. (Big 12),15.83,22.30,71
171,Texas (Big 12),13.78,19.41,71
172,Texas Tech (Big 12),15.52,21.86,71
173,Washington St. (Pac-12),14.04,19.78,71
174,Canisius (MAAC),13.54,19.08,71
175,Navy (Patriot),13.56,19.11,70.9
176,UNLV (Mountain West),8.81,12.44,70.8
177,Baylor (Big 12),11.80,16.67,70.8
178,Auburn (SEC),15.44,21.81,70.8
179,Niagara (MAAC),13.45,19.00,70.8
180,Alabama (SEC),13.12,18.55,70.8
181,Monmouth (MAAC),16.55,23.40,70.7
182,Texas St. (Sun Belt),10.52,14.88,70.7
183,Eastern Ky. (OVC),12.10,17.14,70.6
184,Oakland (Horizon),14.50,20.53,70.6
185,UC Riverside (Big West),9.05,12.82,70.6
186,Washington (Pac-12),10.77,15.27,70.5
187,Norfolk St. (MEAC),15.40,21.84,70.5
188,Northern Ky. (Horizon),11.56,16.40,70.5
189,Wofford (SoCon),10.25,14.54,70.5
190,American (Patriot),10.50,14.90,70.5
191,Saint Louis (Atlantic 10),12.67,18.00,70.4
192,Ohio (MAC),12.60,17.92,70.3
193,ULM (Sun Belt),9.92,14.12,70.3
194,UIW (Southland),12.68,18.05,70.3
195,Little Rock (Sun Belt),13.96,19.88,70.2
196,NC State (ACC),12.44,17.72,70.2
197,Central Conn. St. (NEC),11.67,16.62,70.2
198,Boston College (ACC),12.35,17.60,70.2
199,Ole Miss (SEC),13.61,19.39,70.2
200,Lehigh (Patriot),11.73,16.73,70.1
201,The Citadel (SoCon),13.88,19.80,70.1
202,Missouri (SEC),14.96,21.35,70.1
203,Miami (FL) (ACC),12.96,18.52,70
204,Providence (Big East),13.00,18.58,70
205,Texas Southern (SWAC),15.92,22.77,69.9
206,Maryland (Big Ten),12.13,17.35,69.9
207,George Washington (Atlantic 10),13.76,19.71,69.9
208,Chicago St. (WAC),9.78,14.00,69.8
209,Virginia Tech (ACC),13.14,18.82,69.8
210,North Dakota (Summit League),13.50,19.35,69.8
211,Louisiana (Sun Belt),12.42,17.81,69.8
212,Holy Cross (Patriot),10.81,15.50,69.8
213,Saint Peter's (MAAC),12.64,18.12,69.8
214,ETSU (SoCon),11.80,16.92,69.7
215,California (Pac-12),12.79,18.34,69.7
216,Stetson (ASUN),11.30,16.22,69.6
217,UAB (C-USA),13.17,18.93,69.6
218,Fairfield (MAAC),12.78,18.37,69.6
219,Troy (Sun Belt),13.79,19.82,69.5
220,Xavier (Big East),11.00,15.86,69.4
221,N.C. Central (MEAC),12.93,18.64,69.3
222,Air Force (Mountain West),10.00,14.44,69.3
223,Old Dominion (C-USA),12.43,17.96,69.2
224,Sam Houston (Southland),13.57,19.61,69.2
225,Lipscomb (ASUN),12.89,18.63,69.2
226,NJIT (America East),13.53,19.58,69.1
227,Duke (ACC),9.96,14.42,69.1
228,Gardner-Webb (Big South),11.65,16.88,69
229,Illinois (Big Ten),15.35,22.26,69
230,Purdue Fort Wayne (Horizon),11.39,16.52,68.9
231,Georgia (SEC),14.65,21.27,68.9
232,Longwood (Big South),11.83,17.17,68.9
233,McNeese (Southland),11.96,17.38,68.8
234,Omaha (Summit League),12.00,17.44,68.8
235,Quinnipiac (MAAC),13.91,20.23,68.8
236,Winthrop (Big South),14.88,21.64,68.8
237,Davidson (Atlantic 10),9.86,14.36,68.7
238,High Point (Big South),14.88,21.67,68.7
239,Samford (SoCon),11.95,17.42,68.6
240,Jacksonville St. (OVC),12.59,18.37,68.5
241,Presbyterian (Big South),12.95,18.91,68.5
242,Georgia St. (Sun Belt),13.23,19.32,68.5
243,A&M-Corpus Christi (Southland),13.21,19.29,68.5
244,La Salle (Atlantic 10),9.64,14.08,68.5
245,New Hampshire (America East),12.89,18.84,68.4
246,Grand Canyon (WAC),12.38,18.08,68.4
247,Marist (MAAC),11.43,16.71,68.4
248,Santa Clara (WCC),15.55,22.75,68.4
249,Middle Tenn. (C-USA),10.13,14.83,68.3
250,UNC Greensboro (SoCon),10.57,15.47,68.3
251,Tennessee St. (OVC),13.00,19.04,68.3
252,UNI (MVC),10.32,15.12,68.3
253,Stony Brook (America East),12.87,18.87,68.2
254,Long Beach St. (Big West),14.94,21.94,68.1
255,Radford (Big South),14.07,20.67,68.1
256,Louisiana Tech (C-USA),13.59,19.97,68.1
257,Wichita St. (AAC),14.91,21.91,68
258,SIUE (OVC),12.12,17.81,68
259,Jackson St. (SWAC),15.94,23.44,68
260,SFA (Southland),16.29,23.95,68
261,Morehead St. (OVC),12.81,18.84,68
262,Sacramento St. (Big Sky),12.40,18.25,67.9
263,Pacific (WCC),11.39,16.78,67.9
264,Abilene Christian (Southland),13.90,20.48,67.8
265,Tulsa (AAC),12.26,18.09,67.8
266,Campbell (Big South),12.00,17.70,67.8
267,DePaul (Big East),9.74,14.37,67.8
268,Southeastern La. (Southland),16.00,23.62,67.8
269,Portland St. (Big Sky),13.45,19.86,67.7
270,Southern Miss. (C-USA),10.60,15.68,67.6
271,Tennessee Tech (OVC),10.26,15.19,67.6
272,Central Mich. (MAC),15.30,22.74,67.3
273,Binghamton (America East),9.00,13.39,67.2
274,Southern U. (SWAC),15.42,22.95,67.2
275,Murray St. (OVC),10.00,14.88,67.2
276,TCU (Big 12),11.96,17.81,67.2
277,Northwestern St. (Southland),12.28,18.28,67.2
278,Buffalo (MAC),13.08,19.48,67.1
279,Cleveland St. (Horizon),12.59,18.78,67.1
280,Southeast Mo. St. (OVC),14.78,22.04,67.1
281,Mount St. Mary's (NEC),10.78,16.09,67
282,Fordham (Atlantic 10),9.43,14.07,67
283,Rhode Island (Atlantic 10),14.92,22.32,66.8
284,North Carolina (ACC),14.38,21.52,66.8
285,Nicholls (Southland),11.92,17.84,66.8
286,James Madison (CAA),15.50,23.25,66.7
286,Northern Colo. (Big Sky),11.55,17.32,66.7
286,LIU (NEC),13.33,20.00,66.7
289,Fresno St. (Mountain West),13.46,20.21,66.6
290,Manhattan (MAAC),13.75,20.65,66.6
291,FIU (C-USA),10.04,15.08,66.6
292,Grambling (SWAC),15.33,23.04,66.5
293,Southern Ill. (MVC),10.23,15.38,66.5
294,Indiana (Big Ten),15.41,23.19,66.5
295,Kansas St. (Big 12),10.45,15.72,66.4
296,FGCU (ASUN),10.00,15.06,66.4
297,Pittsburgh (ACC),14.27,21.50,66.4
298,Jacksonville (ASUN),12.42,18.71,66.4
299,Northern Ariz. (Big Sky),10.95,16.55,66.2
300,UMass Lowell (America East),13.26,20.04,66.2
301,Illinois St. (MVC),9.84,14.88,66.1
302,Fla. Atlantic (C-USA),11.70,17.70,66.1
303,Kansas City (Summit League),10.42,15.79,66
304,Kennesaw St. (ASUN),11.04,16.75,65.9
305,UIC (Horizon),8.86,13.45,65.9
306,Mississippi St. (SEC),12.55,19.06,65.8
307,N.C. A&T (MEAC),14.67,22.29,65.8
308,Siena (MAAC),12.88,19.59,65.8
309,Eastern Ill. (OVC),10.15,15.44,65.7
310,Cincinnati (AAC),12.61,19.22,65.6
311,Robert Morris (Horizon),10.32,15.74,65.6
312,Prairie View (SWAC),10.67,16.29,65.5
313,San Jose St. (Mountain West),11.33,17.33,65.4
314,South Carolina (SEC),11.86,18.14,65.4
315,Florida A&M (SWAC),10.95,16.80,65.2
316,Duquesne (Atlantic 10),11.89,18.28,65
317,San Diego (WCC),10.07,15.50,65
318,Southern California (Pac-12),13.67,21.06,64.9
319,Alabama St. (SWAC),15.50,23.94,64.7
320,Butler (Big East),10.60,16.40,64.6
321,George Mason (Atlantic 10),11.50,17.91,64.2
322,Creighton (Big East),9.87,15.42,64
323,Nebraska (Big Ten),11.81,18.48,63.9
324,Western Mich. (MAC),8.86,13.86,63.9
325,Army West Point (Patriot),10.55,16.55,63.7
326,South Fla. (AAC),12.68,19.91,63.7
327,UTRGV (WAC),15.68,24.63,63.7
328,Rutgers (Big Ten),10.18,16.00,63.6
329,Ga. Southern (Sun Belt),11.31,17.81,63.5
330,Utah Valley (WAC),15.09,23.91,63.1
331,Alabama A&M (SWAC),11.53,18.40,62.7
332,Coppin St. (MEAC),15.95,25.64,62.2
333,South Carolina St. (MEAC),9.83,15.83,62.1
334,Memphis (AAC),11.96,19.39,61.7
335,Northern Ill. (MAC),8.84,14.37,61.5
336,UNC Asheville (Big South),10.55,17.40,60.6
337,Loyola Maryland (Patriot),12.47,20.65,60.4
338,New Mexico (Mountain West),11.59,19.36,59.9
339,Mississippi Val. (SWAC),7.92,13.83,57.2
340,Maine (America East),7.78,13.67,56.9
