Rank,Team,GM,W-L,FGM,FGA,FG%
1,Gonzaga (WCC),32,28-4,"1,045","2,004",52.1
2,South Dakota St. (Summit League),35,30-5,"1,078","2,069",52.1
3,UC Santa Barbara (Big West),28,17-11,755,"1,527",49.4
4,Arizona (Pac-12),37,33-4,"1,117","2,269",49.2
5,Vermont (America East),34,28-6,936,"1,902",49.2
6,Duke (ACC),39,32-7,"1,158","2,357",49.1
7,Purdue (Big Ten),37,29-8,"1,026","2,094",49
8,Belmont (OVC),33,25-8,957,"1,960",48.8
9,Princeton (Ivy League),30,23-7,910,"1,866",48.8
10,Winthrop (Big South),32,23-9,842,"1,733",48.6
11,Santa Clara (WCC),33,21-12,950,"1,961",48.4
12,Wake Forest (ACC),35,25-10,978,"2,026",48.3
13,Kentucky (SEC),34,26-8,"1,030","2,134",48.3
14,Missouri St. (MVC),34,23-11,954,"1,980",48.2
15,Davidson (Atlantic 10),34,27-7,908,"1,887",48.1
16,Colorado St. (Mountain West),31,25-6,821,"1,710",48
17,Toledo (MAC),34,26-8,"1,017","2,122",47.9
18,Dayton (Atlantic 10),35,24-11,901,"1,883",47.8
19,Cleveland St. (Horizon),31,20-11,853,"1,783",47.8
20,Kansas City (Summit League),31,19-12,855,"1,788",47.8
21,Kansas (Big 12),40,34-6,"1,144","2,393",47.8
22,Loyola Chicago (MVC),33,25-8,855,"1,794",47.7
23,Utah St. (Mountain West),34,18-16,917,"1,926",47.6
24,Oklahoma (Big 12),35,19-16,885,"1,859",47.6
25,Murray St. (OVC),34,31-3,978,"2,056",47.6
26,Weber St. (Big Sky),33,21-12,878,"1,847",47.5
27,Northern Colo. (Big Sky),38,22-16,"1,049","2,209",47.5
28,SFA (WAC),32,22-10,877,"1,849",47.4
29,Colgate (Patriot),35,23-12,964,"2,035",47.4
30,Miami (FL) (ACC),37,26-11,"1,011","2,136",47.3
31,Montana St. (Big Sky),35,27-8,923,"1,952",47.3
32,Liberty (ASUN),33,22-11,851,"1,801",47.3
33,Texas Tech (Big 12),37,27-10,969,"2,055",47.2
34,Virginia Tech (ACC),36,23-13,933,"1,981",47.1
35,Ohio St. (Big Ten),32,20-12,819,"1,740",47.1
36,Memphis (AAC),33,22-11,889,"1,895",46.9
37,Nicholls (Southland),33,21-12,"1,018","2,171",46.9
38,Delaware (CAA),35,22-13,909,"1,940",46.9
39,UAB (C-USA),35,27-8,"1,035","2,212",46.8
40,Western Ky. (C-USA),32,19-13,881,"1,885",46.7
41,Michigan (Big Ten),34,19-15,914,"1,957",46.7
42,Jacksonville St. (ASUN),32,21-11,838,"1,796",46.7
43,Cornell (Ivy League),26,15-11,735,"1,576",46.6
44,South Dakota (Summit League),31,19-12,829,"1,779",46.6
45,New Orleans (Southland),32,18-14,890,"1,911",46.6
46,Wofford (SoCon),32,19-13,818,"1,758",46.5
47,Houston (AAC),38,32-6,"1,054","2,267",46.5
48,Chattanooga (SoCon),35,27-8,956,"2,059",46.4
49,Saint Mary's (CA) (WCC),34,26-8,888,"1,915",46.4
50,Furman (SoCon),34,22-12,945,"2,038",46.4
51,Drexel (CAA),29,15-14,796,"1,718",46.3
52,Robert Morris (Horizon),32,8-24,823,"1,777",46.3
53,Wagner (NEC),27,21-6,747,"1,613",46.3
54,Hofstra (CAA),32,21-11,928,"2,004",46.3
55,Kennesaw St. (ASUN),31,13-18,850,"1,836",46.3
56,James Madison (CAA),29,15-14,804,"1,737",46.3
57,Notre Dame (ACC),35,24-11,913,"1,973",46.3
58,Texas St. (Sun Belt),29,21-8,739,"1,600",46.2
59,Baylor (Big 12),34,27-7,962,"2,083",46.2
60,North Dakota St. (Summit League),33,23-10,867,"1,878",46.2
61,VCU (Atlantic 10),32,22-10,795,"1,723",46.1
62,Iowa (Big Ten),36,26-10,"1,071","2,322",46.1
63,Wright St. (Horizon),36,22-14,987,"2,140",46.1
64,Norfolk St. (MEAC),31,24-7,814,"1,766",46.1
65,Southern Utah (Big Sky),35,23-12,962,"2,088",46.1
66,Drake (MVC),36,25-11,979,"2,126",46
67,Denver (Summit League),32,11-21,816,"1,773",46
68,Campbell (Big South),29,16-13,721,"1,567",46
69,Charlotte (C-USA),31,17-14,781,"1,698",46
70,Akron (MAC),34,24-10,827,"1,799",46
71,Southeastern La. (Southland),34,19-15,911,"1,982",46
72,South Alabama (Sun Belt),33,21-12,863,"1,878",46
73,Valparaiso (MVC),32,14-18,836,"1,820",45.9
74,VMI (SoCon),32,16-16,876,"1,908",45.9
75,UNI (MVC),32,20-12,823,"1,793",45.9
76,Rice (C-USA),33,16-17,868,"1,892",45.9
77,Saint Louis (Atlantic 10),35,23-12,958,"2,090",45.8
78,Purdue Fort Wayne (Horizon),33,21-12,864,"1,888",45.8
79,Wyoming (Mountain West),34,25-9,853,"1,865",45.7
80,San Francisco (WCC),34,24-10,944,"2,064",45.7
81,UNC Asheville (Big South),32,17-15,831,"1,817",45.7
82,Mercer (SoCon),33,16-17,828,"1,811",45.7
83,Lipscomb (ASUN),33,14-19,850,"1,860",45.7
84,Bucknell (Patriot),32,9-23,818,"1,790",45.7
85,BYU (WCC),35,24-11,960,"2,101",45.7
86,Oral Roberts (Summit League),31,19-12,937,"2,053",45.6
87,Michigan St. (Big Ten),36,23-13,939,"2,059",45.6
88,Morehead St. (OVC),34,23-11,868,"1,904",45.6
89,Rhode Island (Atlantic 10),31,15-16,769,"1,687",45.6
90,Clemson (ACC),33,17-16,851,"1,868",45.6
91,Buffalo (MAC),30,19-11,891,"1,957",45.5
92,Louisiana Tech (C-USA),34,24-10,911,"2,001",45.5
93,Mississippi St. (SEC),34,18-16,860,"1,891",45.5
94,Southern California (Pac-12),34,26-8,910,"2,002",45.5
95,New Mexico St. (WAC),34,27-7,869,"1,912",45.4
96,LMU (CA) (WCC),29,11-18,718,"1,580",45.4
97,ULM (Sun Belt),31,13-18,839,"1,847",45.4
98,Indiana (Big Ten),35,21-14,903,"1,988",45.4
99,Boston U. (Patriot),35,22-13,893,"1,967",45.4
100,Utah Valley (WAC),32,20-12,798,"1,758",45.4
101,Eastern Wash. (Big Sky),34,18-16,905,"1,995",45.4
102,FGCU (ASUN),34,22-12,944,"2,081",45.4
103,St. John's (NY) (Big East),32,17-15,969,"2,137",45.3
104,Montana (Big Sky),32,18-14,794,"1,752",45.3
105,St. Bonaventure (Atlantic 10),33,23-10,868,"1,917",45.3
106,Fla. Atlantic (C-USA),34,19-15,907,"2,004",45.3
107,Xavier (Big East),36,23-13,953,"2,112",45.1
108,Illinois St. (MVC),33,13-20,869,"1,926",45.1
109,Oregon (Pac-12),35,20-15,936,"2,075",45.1
110,Syracuse (ACC),33,16-17,915,"2,029",45.1
111,Arkansas St. (Sun Belt),29,18-11,745,"1,653",45.1
112,McNeese (Southland),33,11-22,933,"2,071",45.1
113,Longwood (Big South),33,26-7,873,"1,938",45
114,UCLA (Pac-12),35,27-8,967,"2,148",45
115,Coastal Carolina (Sun Belt),33,19-14,872,"1,937",45
116,Jacksonville (ASUN),31,21-10,768,"1,706",45
117,Middle Tenn. (C-USA),37,26-11,963,"2,141",45
118,American (Patriot),32,10-22,781,"1,737",45
119,Marquette (Big East),32,19-13,861,"1,915",45
120,Hartford (America East),32,12-20,799,"1,778",44.9
121,N.C. Central (MEAC),31,16-15,809,"1,801",44.9
122,Nevada (Mountain West),31,13-18,802,"1,786",44.9
123,Tennessee Tech (OVC),32,11-21,897,"1,998",44.9
124,Virginia (ACC),35,21-14,817,"1,820",44.9
125,Illinois (Big Ten),33,23-10,863,"1,925",44.8
126,Youngstown St. (Horizon),34,19-15,878,"1,960",44.8
127,Towson (CAA),34,25-9,870,"1,943",44.8
128,Creighton (Big East),35,23-12,896,"2,002",44.8
129,USC Upstate (Big South),32,15-17,815,"1,823",44.7
130,Ga. Southern (Sun Belt),29,13-16,714,"1,598",44.7
131,Iona (MAAC),33,25-8,872,"1,952",44.7
132,Lehigh (Patriot),32,13-19,796,"1,782",44.7
133,North Carolina (ACC),39,29-10,"1,076","2,409",44.7
134,Fresno St. (Mountain West),36,23-13,855,"1,916",44.6
135,Penn (Ivy League),28,12-16,748,"1,677",44.6
136,Tennessee St. (OVC),32,14-18,825,"1,851",44.6
137,George Mason (Atlantic 10),30,14-16,751,"1,685",44.6
138,Southern Ill. (MVC),31,16-15,713,"1,600",44.6
139,Sacred Heart (NEC),30,10-20,807,"1,812",44.5
140,Houston Baptist (Southland),29,11-18,762,"1,711",44.5
141,Samford (SoCon),32,21-11,856,"1,923",44.5
142,UMass Lowell (America East),31,15-16,831,"1,867",44.5
143,Rutgers (Big Ten),32,18-14,826,"1,856",44.5
144,Northwestern St. (Southland),32,9-23,895,"2,012",44.5
145,The Citadel (SoCon),31,13-18,838,"1,884",44.5
146,Cal St. Fullerton (Big West),32,21-11,792,"1,781",44.5
147,Boise St. (Mountain West),35,27-8,849,"1,910",44.5
148,ETSU (SoCon),32,15-17,853,"1,921",44.4
149,UMBC (America East),32,18-14,813,"1,832",44.4
150,Nebraska (Big Ten),32,10-22,832,"1,875",44.4
151,Gardner-Webb (Big South),31,18-13,784,"1,767",44.4
152,Bradley (MVC),31,17-14,799,"1,801",44.4
153,Mount St. Mary's (NEC),30,14-16,750,"1,693",44.3
154,Oregon St. (Pac-12),31,3-28,795,"1,795",44.3
155,Texas A&M (SEC),40,27-13,"1,034","2,335",44.3
156,A&M-Corpus Christi (Southland),35,23-12,943,"2,130",44.3
157,UC Riverside (Big West),28,16-12,683,"1,544",44.2
158,Colorado (Pac-12),33,21-12,817,"1,847",44.2
159,Georgia (SEC),32,6-26,763,"1,725",44.2
160,Loyola Maryland (Patriot),30,14-16,747,"1,689",44.2
161,UC Irvine (Big West),25,15-10,609,"1,377",44.2
162,Richmond (Atlantic 10),37,24-13,934,"2,112",44.2
163,Ball St. (MAC),31,14-17,788,"1,783",44.2
164,Idaho (Big Sky),31,9-22,780,"1,765",44.2
165,Tulane (AAC),29,14-15,734,"1,661",44.2
166,North Texas (C-USA),32,25-7,722,"1,634",44.2
167,High Point (Big South),32,14-18,808,"1,829",44.2
168,Yale (Ivy League),31,19-12,795,"1,800",44.2
169,Indiana St. (MVC),31,11-20,776,"1,759",44.1
170,Texas (Big 12),34,22-12,832,"1,886",44.1
171,Georgia Tech (ACC),32,12-20,823,"1,866",44.1
172,Kent St. (MAC),34,23-11,852,"1,932",44.1
173,Binghamton (America East),29,12-17,746,"1,692",44.1
174,UTRGV (WAC),31,8-23,759,"1,722",44.1
175,Southern U. (SWAC),31,17-14,791,"1,795",44.1
176,Hawaii (Big West),28,17-11,667,"1,514",44.1
177,SMU (AAC),33,24-9,827,"1,878",44
178,Manhattan (MAAC),30,15-15,730,"1,659",44
179,UC Davis (Big West),24,13-11,601,"1,366",44
180,Central Ark. (ASUN),31,11-20,862,"1,960",44
181,Howard (MEAC),29,16-13,759,"1,726",44
182,UIC (Horizon),30,14-16,798,"1,815",44
183,New Hampshire (America East),28,15-13,706,"1,606",44
184,Alabama (SEC),33,19-14,911,"2,073",43.9
185,Miami (OH) (MAC),32,14-18,870,"1,980",43.9
186,Marist (MAAC),30,14-16,763,"1,737",43.9
187,Oakland (Horizon),32,20-12,824,"1,876",43.9
188,Niagara (MAAC),30,14-16,737,"1,678",43.9
189,TCU (Big 12),34,21-13,862,"1,963",43.9
190,Col. of Charleston (CAA),32,17-15,895,"2,039",43.9
191,Detroit Mercy (Horizon),30,14-16,752,"1,715",43.8
192,LSU (SEC),34,22-12,879,"2,005",43.8
193,Stony Brook (America East),31,18-13,815,"1,860",43.8
194,Abilene Christian (WAC),36,25-11,946,"2,159",43.8
195,Minnesota (Big Ten),30,13-17,744,"1,699",43.8
196,Southeast Mo. St. (OVC),32,14-18,818,"1,871",43.7
197,Army West Point (Patriot),31,15-16,804,"1,839",43.7
198,Portland (WCC),34,19-15,858,"1,963",43.7
199,Morgan St. (MEAC),28,13-15,771,"1,764",43.7
200,Bryant (NEC),32,22-10,879,"2,013",43.7
201,Long Beach St. (Big West),33,20-13,841,"1,926",43.7
202,Northeastern (CAA),31,9-22,709,"1,624",43.7
203,Air Force (Mountain West),29,11-18,627,"1,437",43.6
204,Marshall (C-USA),33,12-21,919,"2,107",43.6
205,UConn (Big East),33,23-10,880,"2,021",43.5
206,Auburn (SEC),34,28-6,943,"2,166",43.5
207,Brown (Ivy League),29,13-16,739,"1,698",43.5
208,Bowling Green (MAC),31,13-18,881,"2,025",43.5
209,Ole Miss (SEC),32,13-19,793,"1,824",43.5
210,Providence (Big East),33,27-6,808,"1,859",43.5
211,New Mexico (Mountain West),32,13-19,834,"1,920",43.4
212,Old Dominion (C-USA),32,13-19,786,"1,810",43.4
213,Western Ill. (Summit League),32,16-16,889,"2,048",43.4
214,Oklahoma St. (Big 12),30,15-15,754,"1,737",43.4
215,Tennessee (SEC),35,27-8,915,"2,108",43.4
216,Tulsa (AAC),31,11-20,745,"1,717",43.4
217,Florida St. (ACC),31,17-14,799,"1,842",43.4
218,Arkansas (SEC),37,28-9,972,"2,241",43.4
219,Fairfield (MAAC),33,15-18,820,"1,891",43.4
220,DePaul (Big East),31,15-16,816,"1,883",43.3
221,Maryland (Big Ten),32,15-17,790,"1,824",43.3
222,Massachusetts (Atlantic 10),32,15-17,823,"1,901",43.3
223,Texas Southern (SWAC),32,19-13,803,"1,855",43.3
224,Stanford (Pac-12),32,16-16,770,"1,780",43.3
225,Lafayette (Patriot),30,10-20,757,"1,750",43.3
226,Villanova (Big East),38,30-8,922,"2,133",43.2
227,Penn St. (Big Ten),31,14-17,740,"1,712",43.2
228,Harvard (Ivy League),26,13-13,676,"1,564",43.2
229,San Diego St. (Mountain West),32,23-9,761,"1,761",43.2
230,Iowa St. (Big 12),35,22-13,849,"1,969",43.1
231,Omaha (Summit League),30,5-25,755,"1,751",43.1
232,Quinnipiac (MAAC),31,14-17,789,"1,830",43.1
233,Sacramento St. (Big Sky),29,11-18,696,"1,615",43.1
234,UNC Greensboro (SoCon),32,17-15,750,"1,741",43.1
235,UTEP (C-USA),34,20-14,840,"1,950",43.1
236,Ohio (MAC),35,25-10,898,"2,085",43.1
237,Eastern Mich. (MAC),31,10-21,782,"1,816",43.1
238,Portland St. (Big Sky),31,14-17,820,"1,905",43
239,Florida A&M (SWAC),30,13-17,733,"1,704",43
240,Stetson (ASUN),30,11-19,765,"1,779",43
241,FIU (C-USA),32,15-17,813,"1,892",43
242,Navy (Patriot),32,21-11,770,"1,792",43
243,Grand Canyon (WAC),31,23-8,784,"1,825",43
244,Northern Ky. (Horizon),32,20-12,805,"1,877",42.9
245,Southern Miss. (C-USA),33,7-26,801,"1,868",42.9
246,San Diego (WCC),31,15-16,770,"1,797",42.8
247,George Washington (Atlantic 10),30,12-18,758,"1,769",42.8
248,Boston College (ACC),33,13-20,812,"1,896",42.8
249,LIU (NEC),30,16-14,812,"1,897",42.8
250,Prairie View (SWAC),27,8-19,648,"1,514",42.8
251,San Jose St. (Mountain West),31,8-23,734,"1,717",42.7
252,Louisiana (Sun Belt),31,16-15,766,"1,792",42.7
253,Northwestern (Big Ten),31,15-16,824,"1,928",42.7
254,Saint Peter's (MAAC),34,22-12,797,"1,865",42.7
255,Sam Houston (WAC),33,19-14,846,"1,984",42.6
256,Siena (MAAC),29,15-14,691,"1,621",42.6
257,Alabama St. (SWAC),31,10-21,751,"1,762",42.6
258,Florida (SEC),34,20-14,825,"1,936",42.6
259,Missouri (SEC),33,12-21,790,"1,854",42.6
260,Elon (CAA),32,10-22,766,"1,800",42.6
261,Columbia (Ivy League),26,4-22,651,"1,531",42.5
262,Troy (Sun Belt),32,20-12,770,"1,812",42.5
263,UNLV (Mountain West),32,18-14,782,"1,842",42.5
264,N.C. A&T (Big South),32,12-20,806,"1,899",42.4
265,UNCW (CAA),36,27-9,904,"2,130",42.4
266,Vanderbilt (SEC),36,19-17,849,"2,001",42.4
267,South Carolina (SEC),31,18-13,811,"1,913",42.4
268,UCF (AAC),30,18-12,740,"1,748",42.3
269,Saint Francis (PA) (NEC),30,9-21,764,"1,808",42.3
270,Louisville (ACC),32,13-19,795,"1,882",42.2
271,Milwaukee (Horizon),32,10-22,762,"1,805",42.2
272,Wisconsin (Big Ten),33,25-8,815,"1,931",42.2
273,Presbyterian (Big South),32,12-20,794,"1,882",42.2
274,Little Rock (Sun Belt),28,9-19,651,"1,544",42.2
275,Saint Joseph's (Atlantic 10),30,11-19,747,"1,774",42.1
276,Western Mich. (MAC),31,8-23,730,"1,736",42.1
277,California (Pac-12),32,12-20,756,"1,798",42
278,Kansas St. (Big 12),31,14-17,748,"1,780",42
279,CSU Bakersfield (Big West),27,8-19,647,"1,540",42
280,Seton Hall (Big East),32,21-11,808,"1,925",42
281,Green Bay (Horizon),30,5-25,668,"1,593",41.9
282,UT Arlington (Sun Belt),29,11-18,711,"1,696",41.9
283,NIU (MAC),30,9-21,690,"1,646",41.9
284,Utah (Pac-12),31,11-20,753,"1,799",41.9
285,Idaho St. (Big Sky),30,7-23,673,"1,608",41.9
286,Monmouth (MAAC),34,21-13,801,"1,915",41.8
287,Pepperdine (WCC),32,7-25,810,"1,937",41.8
288,App State (Sun Belt),34,19-15,822,"1,966",41.8
289,SIUE (OVC),32,11-21,772,"1,849",41.8
290,Eastern Ky. (ASUN),31,13-18,887,"2,125",41.7
291,Northern Ariz. (Big Sky),32,9-23,770,"1,845",41.7
292,Seattle U (WAC),32,23-9,829,"1,989",41.7
293,Dartmouth (Ivy League),25,9-16,608,"1,459",41.7
294,Bethune-Cookman (SWAC),30,9-21,710,"1,705",41.6
295,Butler (Big East),33,14-19,749,"1,799",41.6
296,North Florida (ASUN),31,11-20,725,"1,743",41.6
297,Pacific (WCC),30,8-22,710,"1,710",41.5
298,UT Martin (OVC),30,8-22,762,"1,837",41.5
299,UIW (Southland),32,7-25,737,"1,777",41.5
300,Radford (Big South),29,11-18,666,"1,607",41.4
301,Maine (America East),29,6-23,685,"1,654",41.4
302,Pittsburgh (ACC),32,11-21,675,"1,630",41.4
303,Holy Cross (Patriot),31,9-22,742,"1,793",41.4
304,Arizona St. (Pac-12),31,14-17,775,"1,873",41.4
305,La Salle (Atlantic 10),30,11-19,743,"1,796",41.4
306,Rider (MAAC),33,14-19,826,"1,997",41.4
307,West Virginia (Big 12),33,16-17,779,"1,885",41.3
308,Washington (Pac-12),32,17-15,796,"1,929",41.3
309,NC State (ACC),32,11-21,824,"1,997",41.3
310,Alcorn (SWAC),34,17-17,817,"1,983",41.2
311,UAlbany (America East),31,13-18,714,"1,741",41
312,NJIT (America East),29,11-18,656,"1,603",40.9
313,St. Francis Brooklyn (NEC),30,10-20,746,"1,823",40.9
314,Central Mich. (MAC),30,7-23,694,"1,696",40.9
315,Cal Poly (Big West),28,7-21,593,"1,450",40.9
316,Ark.-Pine Bluff (SWAC),31,7-24,708,"1,733",40.9
317,Austin Peay (OVC),29,12-17,669,"1,639",40.8
318,Charleston So. (Big South),31,6-25,745,"1,830",40.7
319,Grambling (SWAC),32,12-20,749,"1,842",40.7
320,Jackson St. (SWAC),30,11-19,693,"1,705",40.6
321,Fairleigh Dickinson (NEC),26,4-22,632,"1,555",40.6
322,East Carolina (AAC),30,15-15,700,"1,724",40.6
323,Washington St. (Pac-12),37,22-15,908,"2,239",40.6
324,North Dakota (Summit League),31,6-25,739,"1,828",40.4
325,UMES (MEAC),27,11-16,631,"1,562",40.4
326,Delaware St. (MEAC),28,2-26,633,"1,567",40.4
327,Cincinnati (AAC),33,18-15,812,"2,012",40.4
328,Duquesne (Atlantic 10),30,6-24,742,"1,842",40.3
329,Wichita St. (AAC),28,15-13,658,"1,634",40.3
330,CSUN (Big West),30,7-23,678,"1,684",40.3
331,William & Mary (CAA),32,5-27,724,"1,799",40.2
332,Western Caro. (SoCon),32,11-21,787,"1,960",40.2
333,Lamar University (WAC),29,2-27,664,"1,655",40.1
334,Georgetown (Big East),31,6-25,770,"1,924",40
335,Canisius (MAAC),32,11-21,777,"1,942",40
336,Georgia St. (Sun Belt),29,18-11,722,"1,806",40
337,Hampton (Big South),28,9-19,628,"1,573",39.9
338,Evansville (MVC),30,6-24,629,"1,581",39.8
339,Eastern Ill. (OVC),31,5-26,623,"1,567",39.8
340,UTSA (C-USA),32,10-22,795,"2,010",39.6
341,Temple (AAC),29,17-12,649,"1,644",39.5
342,Fordham (Atlantic 10),32,16-16,737,"1,870",39.4
343,Central Conn. St. (NEC),32,8-24,690,"1,755",39.3
344,South Carolina St. (MEAC),31,15-16,797,"2,030",39.3
345,Chicago St. (WAC),32,7-25,700,"1,800",38.9
346,Coppin St. (MEAC),32,9-23,715,"1,851",38.6
347,Mississippi Val. (SWAC),28,2-26,665,"1,723",38.6
348,IUPUI (Horizon),29,3-26,557,"1,467",38
349,Alabama A&M (SWAC),30,12-18,656,"1,733",37.9
350,South Fla. (AAC),31,8-23,670,"1,790",37.4
